,feature,lag,MSE,RMSE,MAE,MAPE,R2
0,SA sales,1,1.98145948238894e-05,0.004451358761534438,0.0037276002426665272,1.3733651068308474,0.6115516037933444
0,NSA sales,1,7.861923583451075e-05,0.008866748887529788,0.007761516028152351,2.311642373991766,-0.541263717090428
0,SA inventory,1,7.281317356149532e-05,0.008533063550770926,0.0070479735959892206,1.6783492489757792,-0.4274407700014644
0,NSA inventory,1,0.00010978888144816894,0.010478018965824072,0.008145570670387662,2.2372614143537475,-1.1523182936068057
0,SA new listings,1,3.308842641667844e-05,0.005752254029220062,0.004780272560668992,1.4479940524247055,0.3513293464338556
0,NSA new listings,1,7.764676116010749e-05,0.008811739962124818,0.007657687885831418,2.550665840377301,-0.5221991724463917
0,SA mean days to pending,1,6.326797439462379e-05,0.00795411682052909,0.006516661500202424,1.7488168279163099,-0.2403152021662831
0,NSA mean days to pending,1,0.00011074222737223645,0.010523413294755483,0.008662341774987984,2.746654344225209,-1.1710078352565647
0,SA mean sale-to-list ratio,2,5.2323224323301186e-05,0.007233479406433752,0.005595925824136313,1.6670651837863018,-0.02575262090359809
0,NSA mean sale-to-list ratio,2,0.0001120766730700365,0.010586627086567114,0.009129563241189052,2.972370066642136,-1.1971685160952328
0,SA median days to pending,1,4.838824767511864e-05,0.006956166162126853,0.005826499543791362,1.9724451025102134,0.0513892728208335
0,NSA median days to pending,1,8.247788953641595e-05,0.009081733839769582,0.007032215439838229,2.1242594998066453,-0.6169093639151022
0,SA median sale-to-list ratio,2,5.7324067231388644e-05,0.007571265893586663,0.0057614400830892885,1.5218618846892267,-0.1237899224277228
0,NSA median sale-to-list ratio,2,0.00011971628851209742,0.010941493888500665,0.009450030049569173,3.1271084245694944,-1.346936724452756
0,SA newly pending listings,1,2.7768804474115222e-05,0.005269611415855558,0.004041243714244534,1.3037775702967083,0.45561604168957026
0,NSA newly pending listings,1,6.81117268137642e-05,0.008252982904002905,0.006843052216739119,2.197777245358671,-0.33527287733250555
0,SA pct listings with price cut,1,9.600996547176974e-06,0.003098547489901837,0.002541565500079303,1.1005306467584859,0.8117805716501412
0,NSA pct listings with price cut,1,3.9587941336725676e-05,0.006291894892377469,0.004902162485862301,1.3228619972048263,0.22391184588675128
0,SA pct sold above list price,2,5.3759298551341816e-05,0.007332073277821343,0.0056929063251150835,1.7549682492189504,-0.053905643242643686
0,NSA pct sold above list price,2,0.00011210417288747666,0.010587925806666605,0.009068108918526725,2.907862410510828,-1.1977076267899278
0,SA pct sold below list price,2,5.495089332256902e-05,0.007412886976244075,0.0057482159288326454,1.7231183914717048,-0.07726585231708727
0,NSA pct sold below list price,2,0.00011409374194145855,0.010681467218573418,0.009153187475895195,2.9539243453557353,-1.2367114477123664
