,n_estimators,max_samples,MSE,RMSE,MAE,MAPE,R2
0,10,0.5,1.706311504584727e-05,0.004130752358329808,0.003295100493590545,1.0401449236242961,0.665492040954689
0,10,0.6,1.607426850590923e-05,0.004009272815101167,0.003229356766121992,1.1231500359067788,0.6848775421949325
0,10,0.7,1.3150457157694314e-05,0.00362635590609834,0.0029142586435739488,1.0684849932794245,0.7421963942390627
0,10,0.8,1.318818854007966e-05,0.0036315545624538894,0.002973332877522518,1.0397566393569417,0.74145670235515
0,10,0.9,1.3277019897658182e-05,0.0036437645228058002,0.0031149488133460847,1.047372076159953,0.7397152386163794
0,20,0.5,1.9409229002392187e-05,0.004405590653067099,0.003591488225612143,1.1559609879944939,0.619498458353688
0,20,0.6,1.8030197818098204e-05,0.0042461980427316625,0.003427387477977354,1.146386464767979,0.6465331999983729
0,20,0.7,1.6686540735100582e-05,0.0040849162457877375,0.003277005828380377,1.101846033623018,0.6728744622639461
0,20,0.8,1.609719619932127e-05,0.004012131129377662,0.0033454009636228813,1.0992035217526637,0.684428064130214
0,20,0.9,1.5628305842349225e-05,0.003953265212751255,0.0033548754757377268,1.0740832340591184,0.6936202635560109
0,50,0.5,1.8378188097266305e-05,0.004286978900958845,0.0035239608862877576,1.1263833192303065,0.6397111444862723
0,50,0.6,1.7785183354116957e-05,0.004217248315444202,0.0034350941080094153,1.1626812012021368,0.6513365016266354
0,50,0.7,1.809493493623778e-05,0.004253814163340681,0.003484265519375584,1.2081493691348972,0.645264083473919
0,50,0.8,1.57544734466639e-05,0.0039691905278864984,0.0032777648966536843,1.0592289300778155,0.6911468542340004
0,50,0.9,1.5291934913875524e-05,0.003910490367444411,0.0032349101145101636,1.0292886820722125,0.7002145315113981
0,100,0.5,1.8493708418367347e-05,0.004300431189818917,0.0034836424982439707,1.18039572601792,0.6374464661590185
0,100,0.6,1.790498095660116e-05,0.004231427768094495,0.0034547101052775993,1.2127764086920496,0.6489879708104369
0,100,0.7,1.7862970076268296e-05,0.00422646070326796,0.0034237197349146144,1.2220981895006413,0.6498115586371662
0,100,0.8,1.6003085730140335e-05,0.004000385697672205,0.0033002141063237403,1.0612571049678192,0.6862730203932366
0,100,0.9,1.545495370313549e-05,0.003931278889004886,0.003229348363008562,1.0719731746387036,0.6970186858328764
0,200,0.5,1.8318934982518633e-05,0.004280062497501483,0.0035071027426022586,1.1936412018009515,0.640872751755992
0,200,0.6,1.805423746982585e-05,0.004249027826435813,0.0034672194493741027,1.1980808964385679,0.6460619229300317
0,200,0.7,1.7598781576146718e-05,0.004195090174972014,0.0034156063910841515,1.1873834105331136,0.6549907510496571
0,200,0.8,1.666170731080468e-05,0.004081875464881882,0.003356463012104219,1.096776927678043,0.6733613005730712
0,200,0.9,1.6258681855579617e-05,0.00403220558200839,0.0033094782530657067,1.0946393525254898,0.681262274229312
